ACTINV-PROBLEM 1
n 3822
decay 8751
364 344 3.92783402317302421e+00
345 345 -6.93147180559945326e+01
367 345 6.93147180559945326e+01
346 346 -2.31049060186648433e+02
368 346 1.15524530093324216e+02
367 346 1.15524530093324216e+02
347 347 -1.98042051588555798e+07
323 347 1.98042051588555798e+07
348 348 -2.69707074147838632e+01
325 348 2.69707074147838635e-02
302 348 2.58109669959481565e+01
277 348 1.13276971142092231e+00
349 349 -6.79556059372495458e+00
326 349 3.10557119133230453e+00
303 349 3.68998940239265050e+00
350 350 -3.82742783302012857e+00
327 350 6.85109582110603021e-01
304 350 3.14231825090952555e+00
351 351 -1.57533450127260299e+00
328 351 6.32811869161204648e-04
329 351 1.57470168940344180e+00
352 352 -8.06360144904543108e-01
330 352 8.06360144904543108e-01
354 354 -2.15337999726595983e-13
332 354 2.15337999726595983e-13
358 358 -4.93360746332570743e-08
382 358 4.93351372478390399e-08
383 358 9.37385418031884533e-13
360 360 -1.76863686332372211e-06
386 360 1.76863686332372211e-06
361 361 -9.54979692818018165e-28
411 361 7.16234769613513668e-28
387 361 2.38744923204504541e-28
362 362 -1.32512652091447826e-03
388 362 1.32512652091447826e-03
363 363 -4.98667036374061332e-02
389 363 1.74533462730921469e-04
390 363 4.96921701746752126e-02
364 364 -6.93147180559945258e-02
391 364 6.93147180559945258e-02
365 365 -1.50684169686944647e-01
392 365 1.47670486293205755e-01
391 365 3.01368339373889313e-03
366 366 -7.70163533955494817e+00
393 366 5.39114473768846381e+00
392 366 2.31049060186648436e+00
367 367 -8.05985093674355113e+00
394 367 8.05985093674355113e+00
368 368 -3.15066900254520590e+01
395 368 3.15066900254520590e+01
369 369 -6.93147180559945326e+01
396 369 6.93147180559945326e+01
370 370 -1.38629436111989065e+02
397 370 6.93147180559945326e+01
396 370 6.93147180559945326e+01
371 371 -7.87667250636301475e+01
348 371 7.87667250636301475e+01
372 372 -1.23776282242847362e+01
349 372 1.23776282242847362e+01
373 373 -1.63864581692658469e+01
350 373 1.63864581692658469e+01
374 374 -2.31049060186648462e+06
351 374 2.31049060186648462e+06
375 375 -3.80223357410831220e+00
353 375 3.80223357410831220e+00
376 376 -1.16241351762526457e+00
354 376 1.16241351762526457e+00
377 377 -1.01813628166854486e+00
355 377 1.01813628166854486e+00
378 378 -1.11797932348378266e-02
355 378 1.11797932348378266e-02
379 379 -4.94836503440950105e-05
356 379 4.94836503440950105e-05
380 380 -4.84989630954341821e-05
357 380 4.84989630954341821e-05
381 381 -3.28512000492874393e-06
357 381 3.94214400591449299e-08
380 381 3.24569856486959916e-06
383 383 -2.17970811496838124e+00
382 383 2.17970811496838124e+00
384 384 -9.57457550069984911e-08
409 384 9.57457550069984911e-08
385 385 -3.69678496298637485e-02
384 385 3.69678496298637485e-02
386 386 -2.39535896857612576e-06
410 386 2.39535896857612576e-06
387 387 -4.40899664503947095e-06
411 387 4.40899664503947095e-06
388 388 -2.02036603870801347e-04
412 388 2.02036603870801347e-04
389 389 -6.76241151765800269e-03
413 389 6.76241151765800269e-03
390 390 -1.98042051588555812e+00
389 390 1.98042051588555812e+00
391 391 -5.58989661741891367e-02
414 391 5.58989661741891367e-02
392 392 -8.45301439707250440e-02
